sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
VEG-BGP-CS-5,Vegware,Clamshell,Bagasse Eco Range,,,Bagasse,29.15,200,Case (200): £29.15 | Pack (50): £16.18,"The Vegware bagasse Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware bagasse Clamshell. Compostable.,"Vegware bagasse Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Clamshell Compostable | Afida,Shop Vegware bagasse Clamshell - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-CS,Vegware,Heavyweight Clamshell,Bagasse Eco Range,6in,,Bagasse,39.60,200,Case (200): £39.60 | Pack (50): £23.32,"The Vegware 6in bagasse Heavyweight Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 6in bagasse Heavyweight Clamshell. Compostable.,"Vegware 6in bagasse Heavyweight Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Heavyweight Clamshell 6in Compostable | Afida,Shop Vegware 6in bagasse Heavyweight Clamshell - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-2,Vegware,Lunch Box,Bagasse Eco Range,,,Bagasse,42.33,200,Case (200): £42.33 | Pack (50): £28.30,"The Vegware bagasse Lunch Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A spacious food container for full meals - curries, rice dishes, salads, and multi-component lunches. The hinged lid keeps food secure during transport. Grease-resistant and sturdy enough for hot and cold foods. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware bagasse Lunch Box. Compostable.,"Vegware bagasse Lunch Box - generous capacity for full meals. Hinged lid keeps food secure. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Lunch Box Compostable | Afida,Shop Vegware bagasse Lunch Box - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-5,Vegware,Lid (Size 4),Bagasse Eco Range,,,Bagasse,55.14,600,Case (600): £55.14 | Pack (50): £11.17,"The Vegware bagasse Lid (Size 4) is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware bagasse Lid (Size 4). Compostable.,"Vegware bagasse Lid (Size 4) - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Lid (Size 4) Compostable | Afida,Shop Vegware bagasse Lid (Size 4) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-42,Vegware,Gourmet Base (Fits Lid 5),Bagasse Eco Range,42oz / 1200ml,,,78.02,600,Case (600): £78.02 | Pack (50): £15.72,"The Vegware 42oz / 1200ml Gourmet Base (Fits Lid 5). A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 42oz / 1200ml Gourmet Base (Fits Lid 5). Compostable.,"Vegware 42oz / 1200ml Gourmet Base (Fits Lid 5) - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base (Fits Lid 5) 42oz / 1200ml | Afida,Shop Vegware 42oz / 1200ml Gourmet Base (Fits Lid 5) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-60,Vegware,Gourmet Base (Fits Lid 5),Bagasse Eco Range,60oz / 1800ml,,,89.28,600,Case (600): £89.28 | Pack (50): £16.59,"The Vegware 60oz / 1800ml Gourmet Base (Fits Lid 5). A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 60oz / 1800ml Gourmet Base (Fits Lid 5). Compostable.,"Vegware 60oz / 1800ml Gourmet Base (Fits Lid 5) - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base (Fits Lid 5) 60oz / 1800ml | Afida,Shop Vegware 60oz / 1800ml Gourmet Base (Fits Lid 5) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-4,Vegware,Lid (Size 4),Bagasse Eco Range,,,PLA,116.99,600,Case (600): £116.99 | Pack (50): £21.47,"The Vegware PLA Lid (Size 4) is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware PLA Lid (Size 4). Compostable.,"Vegware PLA Lid (Size 4) - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Lid (Size 4) Compostable | Afida,Shop Vegware PLA Lid (Size 4) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG,Vegware,Lid (Size 5),Bagasse Eco Range,,,PLA,148.22,600,Case (600): £148.22 | Pack (50): £27.11,"The Vegware PLA Lid (Size 5) is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware PLA Lid (Size 5). Compostable.,"Vegware PLA Lid (Size 5) - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Lid (Size 5) Compostable | Afida,Shop Vegware PLA Lid (Size 5) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-6,Vegware,Window Lid (Size 4),Bagasse Eco Range,,,,208.46,600,,"The Vegware Window Lid (Size 4). A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware Window Lid (Size 4). Compostable.,"Vegware Window Lid (Size 4) - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Window Lid (Size 4) Compostable | Afida,Shop Vegware Window Lid (Size 4) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-3,Vegware,Window Lid (Size 5),Bagasse Eco Range,,,,191.67,1,,"The Vegware Window Lid (Size 5). A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware Window Lid (Size 5). Compostable.,"Vegware Window Lid (Size 5) - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Window Lid (Size 5) Compostable | Afida,Shop Vegware Window Lid (Size 5) - compostable. Cases of 1. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-2,Vegware,Gourmet Lid (Size 5),Bagasse Eco Range,,,Bagasse,65.67,600,Case (600): £65.67 | Pack (50): £13.35,"The Vegware bagasse Gourmet Lid (Size 5) is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware bagasse Gourmet Lid (Size 5). Compostable.,"Vegware bagasse Gourmet Lid (Size 5) - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Lid (Size 5) Compostable | Afida,Shop Vegware bagasse Gourmet Lid (Size 5) - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-22,Vegware,Gourmet Base,Bagasse Eco Range,22oz / 650ml,,,55.22,600,Case (600): £55.22 | Pack (50): £11.60,"The Vegware 22oz / 650ml Gourmet Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 22oz / 650ml Gourmet Base. Compostable.,"Vegware 22oz / 650ml Gourmet Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base 22oz / 650ml Compostable | Afida,Shop Vegware 22oz / 650ml Gourmet Base - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-TY,Vegware,Medium Chip Tray,Bagasse Eco Range,5in,,Bagasse,31.27,500,,"The Vegware 5in bagasse Medium Chip Tray is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. An open-top tray designed for chips, fries, wedges, and other snack foods. Grease-resistant construction prevents soggy bases. Lightweight and easy to hold, with enough depth to keep portions contained. Certified compostable - breaks down in industrial composting facilities.",Vegware 5in bagasse Medium Chip Tray. Compostable.,"Vegware 5in bagasse Medium Chip Tray - open-top tray for chips, fries, and snack foods. Grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Medium Chip Tray 5in Compostable | Afida,Shop Vegware 5in bagasse Medium Chip Tray - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
