sku,description_short,description_standard,description_detailed
12-DWC-W,"12oz white double wall coffee cups. Extra insulation keeps drinks hot without sleeves - perfect for lattes and americanos.","12oz white double wall paper coffee cups with built-in insulation. The air pocket between walls keeps drinks hot while staying cool to hold - no sleeve needed. Premium smooth finish for professional presentation. Pack of 500.","These 12oz double wall cups deliver premium hot drink service without additional sleeves. The innovative double wall construction creates an insulating air pocket that keeps coffee, tea, and hot chocolate at optimal drinking temperature while remaining comfortable to hold. The smooth white exterior provides a clean, professional canvas for branded sleeves or labels. Perfect for lattes, americanos, and medium hot drinks. Made from sustainably sourced paper with a plant-based lining for commercial composting. The 12oz size suits most coffee shop standard drinks and pairs perfectly with our 90mm sip lids. Ideal for cafes, coffee shops, and catering where presentation and quality matter. Pack of 500 cups."
12-DWC-K,"12oz kraft double wall coffee cups. Extra insulation keeps drinks hot without sleeves - natural brown artisan aesthetic.","12oz kraft double wall paper coffee cups with built-in insulation. The air pocket between walls keeps drinks hot while staying cool to hold - no sleeve needed. Natural brown finish for artisan cafe appeal. Pack of 500.","These 12oz double wall cups deliver premium hot drink service with an artisan aesthetic. The innovative double wall construction creates an insulating air pocket that keeps coffee, tea, and hot chocolate at optimal drinking temperature while remaining comfortable to hold. The natural kraft exterior provides an earthy, eco-friendly appearance that appeals to specialty coffee customers. Perfect for lattes, americanos, and medium hot drinks. Made from sustainably sourced paper with a plant-based lining for commercial composting. The 12oz size suits most coffee shop standard drinks and pairs perfectly with our 90mm sip lids. Ideal for independent cafes, specialty roasters, and artisan food businesses. Pack of 500 cups."
16-DWC-W,"16oz white double wall coffee cups. Large size with extra insulation for big lattes and americanos - no sleeve needed.","16oz white double wall paper coffee cups with built-in insulation. Large size perfect for big lattes and extra-shot americanos. The double wall keeps drinks hot while staying cool to hold. Premium smooth white finish. Pack of 500.","These 16oz double wall cups are built for large hot drinks without additional sleeves. The innovative double wall construction creates an insulating air pocket that keeps coffee, tea, and hot chocolate at optimal drinking temperature while remaining comfortable to hold. The smooth white exterior provides a clean, professional canvas for branded sleeves or labels. The generous 16oz size accommodates large lattes, extra-shot americanos, and grande-style drinks. Made from sustainably sourced paper with a plant-based lining for commercial composting. Pairs perfectly with our 90mm sip lids for secure takeaway service. Ideal for high-street chains, cafes with large drink options, and catering operations. Pack of 500 cups."
8-DWC-K,"8oz kraft double wall coffee cups. Compact with extra insulation for flat whites and cappuccinos - artisan aesthetic.","8oz kraft double wall paper coffee cups with built-in insulation. Perfect for flat whites and cappuccinos. The double wall keeps drinks hot while staying cool to hold. Natural brown finish for specialty coffee appeal. Pack of 500.","These 8oz double wall cups deliver premium presentation for small specialty drinks. The innovative double wall construction creates an insulating air pocket that keeps flat whites, cappuccinos, and cortados at optimal drinking temperature while remaining comfortable to hold. The natural kraft exterior provides an artisan, eco-friendly appearance that specialty coffee customers love. The compact 8oz size is ideal for third-wave coffee shops serving quality over quantity. Made from sustainably sourced paper with a plant-based lining for commercial composting. Pairs perfectly with our 80mm sip lids for secure takeaway service. Ideal for specialty roasters, independent cafes, and artisan coffee businesses. Pack of 500 cups."
8-DWC-W,"8oz white double wall coffee cups. Compact with extra insulation for flat whites and cappuccinos - premium finish.","8oz white double wall paper coffee cups with built-in insulation. Perfect for flat whites and cappuccinos. The double wall keeps drinks hot while staying cool to hold. Clean white finish for professional presentation. Pack of 500.","These 8oz double wall cups deliver premium presentation for small specialty drinks. The innovative double wall construction creates an insulating air pocket that keeps flat whites, cappuccinos, and cortados at optimal drinking temperature while remaining comfortable to hold. The smooth white exterior provides a clean, professional canvas for branded sleeves or labels. The compact 8oz size is ideal for specialty coffee shops serving quality drinks. Made from sustainably sourced paper with a plant-based lining for commercial composting. Pairs perfectly with our 80mm sip lids for secure takeaway service. Ideal for cafes, coffee shops, and catering where premium presentation matters. Pack of 500 cups."
12BRDW,"12oz black ripple wall coffee cups. Textured grip with built-in insulation - sophisticated aesthetic for premium service.","12oz black ripple wall paper coffee cups with textured insulation. The distinctive ripple pattern provides comfortable grip and keeps drinks hot without sleeves. Sophisticated black finish for upscale presentation. Pack of 500.","These 12oz ripple wall cups combine practical functionality with sophisticated style. The distinctive ripple pattern isn't just aesthetic - it provides natural insulation that keeps drinks hot while creating a comfortable grip without additional sleeves. The elegant black finish creates premium presentation ideal for upscale cafes and specialty coffee shops. Perfect for lattes, americanos, and medium hot drinks. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The 12oz size accommodates standard cafe drinks and pairs perfectly with our 90mm sip lids. The sophisticated black colour hides marks and looks professional throughout service. Pack of 500 cups for quality-focused establishments."
12KRDW,"12oz kraft ripple wall coffee cups. Textured grip with built-in insulation - artisan aesthetic for specialty coffee.","12oz kraft ripple wall paper coffee cups with textured insulation. The distinctive ripple pattern provides comfortable grip and keeps drinks hot without sleeves. Natural brown finish for artisan cafe appeal. Pack of 500.","These 12oz ripple wall cups combine practical functionality with artisan style. The distinctive ripple pattern isn't just aesthetic - it provides natural insulation that keeps drinks hot while creating a comfortable grip without additional sleeves. The natural kraft finish creates an earthy, eco-friendly appearance that specialty coffee customers appreciate. Perfect for lattes, americanos, and medium hot drinks. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The 12oz size accommodates standard cafe drinks and pairs perfectly with our 90mm sip lids. Ideal for independent coffee shops, specialty roasters, and venues prioritising sustainability credentials. Pack of 500 cups."
16KRDW,"16oz kraft ripple wall coffee cups. Large size with textured grip and built-in insulation - no sleeve needed.","16oz kraft ripple wall paper coffee cups with textured insulation. Large size for big lattes and americanos. The ripple pattern provides comfortable grip while keeping drinks hot. Natural brown artisan finish. Pack of 500.","These 16oz ripple wall cups are built for large hot drinks with practical style. The distinctive ripple pattern provides natural insulation that keeps drinks hot while creating a comfortable grip without additional sleeves. The natural kraft finish creates an earthy, eco-friendly appearance that appeals to environmentally conscious customers. The generous 16oz size accommodates large lattes, extra-shot americanos, and grande-style drinks. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. Pairs perfectly with our 90mm sip lids for secure takeaway service. Ideal for cafes offering large drink options, food trucks, and high-volume operations. Pack of 500 cups."
16BRDW,"16oz black ripple wall coffee cups. Large size with textured grip and built-in insulation - premium aesthetic.","16oz black ripple wall paper coffee cups with textured insulation. Large size for big lattes and americanos. The ripple pattern provides comfortable grip while keeping drinks hot. Sophisticated black finish. Pack of 500.","These 16oz ripple wall cups deliver large drink capacity with sophisticated style. The distinctive ripple pattern provides natural insulation that keeps drinks hot while creating a comfortable grip without additional sleeves. The elegant black finish creates premium presentation ideal for upscale cafes and specialty chains. The generous 16oz size accommodates large lattes, extra-shot americanos, and grande-style drinks. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. Pairs perfectly with our 90mm sip lids for secure takeaway service. The black colour maintains a professional appearance throughout service. Ideal for quality-focused chains and premium cafes. Pack of 500 cups."
4BRDW,"4oz black ripple wall espresso cups. Compact with textured grip and insulation - premium presentation for small drinks.","4oz black ripple wall paper espresso cups with textured insulation. Perfect for espressos and cortados. The ripple pattern provides comfortable grip on this compact size. Sophisticated black finish. Pack of 1000.","These 4oz ripple wall cups bring premium presentation to espresso service. The distinctive ripple pattern provides natural insulation and comfortable grip even on this compact size. The elegant black finish creates sophisticated presentation for espressos, cortados, and macchiatos. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The 4oz size is ideal for specialty coffee shops offering quality espresso-based drinks. Pairs perfectly with our 62mm sip lids for takeaway service. The black colour maintains professional appearance and hides marks. Perfect for third-wave coffee shops, espresso bars, and premium cafes where presentation matters. Pack of 1000 cups."
4KRDW,"4oz kraft ripple wall espresso cups. Compact with textured grip and insulation - artisan aesthetic for small drinks.","4oz kraft ripple wall paper espresso cups with textured insulation. Perfect for espressos and cortados. The ripple pattern provides comfortable grip on this compact size. Natural brown artisan finish. Pack of 1000.","These 4oz ripple wall cups bring artisan style to espresso service. The distinctive ripple pattern provides natural insulation and comfortable grip even on this compact size. The natural kraft finish creates an earthy, eco-friendly appearance that specialty coffee customers love. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The 4oz size is ideal for specialty coffee shops offering quality espresso-based drinks. Pairs perfectly with our 62mm sip lids for takeaway service. The kraft finish appeals to customers who appreciate sustainable, artisan products. Perfect for independent roasters, specialty cafes, and eco-conscious coffee shops. Pack of 1000 cups."
8KRDW,"8oz kraft ripple wall coffee cups. Textured grip with built-in insulation - perfect for flat whites without sleeves.","8oz kraft ripple wall paper coffee cups with textured insulation. The ripple pattern provides comfortable grip and keeps flat whites and cappuccinos hot without sleeves. Natural brown artisan finish. Pack of 500.","These 8oz ripple wall cups are perfectly sized for specialty drinks. The distinctive ripple pattern provides natural insulation that keeps flat whites and cappuccinos hot while creating a comfortable grip without additional sleeves. The natural kraft finish creates an earthy, eco-friendly appearance that specialty coffee customers appreciate. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The 8oz size suits flat whites, cappuccinos, and small lattes. Pairs perfectly with our 80mm sip lids for secure takeaway service. Ideal for independent coffee shops, specialty roasters, and artisan cafes prioritising quality and sustainability. Pack of 500 cups."
8BRDW,"8oz black ripple wall coffee cups. Textured grip with built-in insulation - sophisticated for flat whites and cappuccinos.","8oz black ripple wall paper coffee cups with textured insulation. The ripple pattern provides comfortable grip and keeps flat whites and cappuccinos hot without sleeves. Sophisticated black finish. Pack of 500.","These 8oz ripple wall cups bring sophisticated style to specialty drinks. The distinctive ripple pattern provides natural insulation that keeps flat whites and cappuccinos hot while creating a comfortable grip without additional sleeves. The elegant black finish creates premium presentation for upscale coffee service. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The 8oz size suits flat whites, cappuccinos, and small lattes. Pairs perfectly with our 80mm sip lids for secure takeaway service. The black colour maintains professional appearance throughout service. Ideal for premium cafes and specialty coffee shops where presentation matters. Pack of 500 cups."
12WSW,"12oz white single wall coffee cups. Classic design for lattes and americanos - economical choice for high-volume service.","12oz white single wall paper coffee cups for hot drinks. Classic economical choice for high-volume cafes and events. Best used with cup sleeves for comfort. Clean white finish works with any branding. Pack of 1000.","These 12oz single wall cups offer reliable hot drink service at excellent value. The classic single wall design is perfect for high-volume operations where economy matters - ideal when paired with separate cup sleeves for customer comfort. The clean white exterior provides a professional canvas for branded sleeves, stamps, or printed cup wraps. The 12oz size suits standard lattes, americanos, and medium coffee orders. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. Pairs perfectly with our 90mm sip lids for takeaway service. The economical price point makes these ideal for busy cafes, corporate catering, and large events. Pack of 1000 cups."
16WSW,"16oz white single wall coffee cups. Large size for big lattes - economical choice for high-volume service.","16oz white single wall paper coffee cups for hot drinks. Large size perfect for big lattes and extra-shot americanos. Economical choice for high-volume service. Best used with cup sleeves for comfort. Pack of 1000.","These 16oz single wall cups offer generous capacity at excellent value. The classic single wall design is perfect for high-volume operations where economy matters - ideal when paired with separate cup sleeves for customer comfort. The clean white exterior provides a professional canvas for branded sleeves, stamps, or printed cup wraps. The large 16oz size accommodates big lattes, extra-shot americanos, and grande-style drinks. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. Pairs perfectly with our 90mm sip lids for takeaway service. The economical price point makes these ideal for busy cafes, food trucks, and large events. Pack of 1000 cups."
4WSW,"4oz white single wall espresso cups. Compact economical choice for espressos and taster portions.","4oz white single wall paper espresso cups for hot drinks. Compact size perfect for espressos, cortados, and taster portions. Economical choice for high-volume espresso service. Clean white professional finish. Pack of 1000.","These 4oz single wall cups provide economical espresso service. The compact size is perfect for espressos, cortados, macchiatos, and taster portions at coffee events. The clean white exterior provides a professional canvas for branded elements. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. The economical price point makes these ideal for busy espresso bars, high-street chains, and event catering where volume matters. Pairs perfectly with our 62mm sip lids for takeaway service. The lightweight single wall design works well for quick espresso service where drinks are consumed promptly. Pack of 1000 cups."
8WSW,"8oz white single wall coffee cups. Classic size for flat whites - economical choice for high-volume service.","8oz white single wall paper coffee cups for hot drinks. Perfect size for flat whites and cappuccinos. Economical choice for high-volume cafes. Best used with cup sleeves for comfort. Clean white finish. Pack of 1000.","These 8oz single wall cups offer the most popular small coffee size at excellent value. The classic single wall design is perfect for high-volume operations where economy matters - ideal when paired with separate cup sleeves for customer comfort. The clean white exterior provides a professional canvas for branded sleeves, stamps, or printed cup wraps. The 8oz size suits flat whites, cappuccinos, and small lattes perfectly. Made from sustainably sourced paper with a plant-based lining suitable for commercial composting. Pairs perfectly with our 80mm sip lids for takeaway service. The economical price point makes these ideal for busy high-street cafes, corporate catering, and events. Pack of 1000 cups."
12RPTRC,"12oz clear smoothie cups. Crystal clear rPET showcases colourful drinks - recyclable plastic for cold beverages.","12oz clear rPET smoothie cups for cold drinks. Crystal clear walls showcase smoothies, milkshakes, and iced drinks beautifully. Made from recycled plastic and fully recyclable. Sturdy construction. Pack of 1000.","These 12oz clear cups deliver professional presentation for cold beverages. Made from rPET (recycled PET plastic), they combine crystal clarity with eco credentials - made from recycled content and fully recyclable after use. The sturdy construction prevents cracking and leaking while the clear walls showcase colourful smoothies, layered milkshakes, and iced drinks perfectly. The 12oz size suits standard smoothie portions, iced coffees, and fresh juices. Compatible with our 12oz dome lids for whipped cream toppings or flat lids with straw slot for everyday service. Ideal for juice bars, smoothie shops, bubble tea stores, and cafes serving cold drinks. Pack of 1000 cups."
16RPTRC,"16oz clear smoothie cups. Large size crystal clear rPET for smoothies and iced drinks - recyclable plastic.","16oz clear rPET smoothie cups for cold drinks. Large size with crystal clear walls that showcase smoothies, milkshakes, and iced drinks beautifully. Made from recycled plastic and fully recyclable. Pack of 1000.","These 16oz clear cups are built for large cold beverages with premium presentation. Made from rPET (recycled PET plastic), they combine crystal clarity with eco credentials - made from recycled content and fully recyclable after use. The sturdy construction prevents cracking and leaking while the clear walls showcase colourful smoothies, layered milkshakes, and iced drinks perfectly. The generous 16oz size suits large smoothie portions, loaded milkshakes, and grande iced coffees. Compatible with our 16-20oz dome lids for whipped cream toppings or flat lids with straw slot. Ideal for juice bars, smoothie shops, and cafes serving large cold drinks. Pack of 1000 cups."
9RPTRC,"9oz clear smoothie cups. Compact crystal clear rPET for small smoothies and juices - recyclable plastic.","9oz clear rPET smoothie cups for cold drinks. Compact size perfect for fresh juices and small smoothies. Crystal clear walls showcase drinks beautifully. Made from recycled plastic and fully recyclable. Pack of 1000.","These 9oz clear cups are perfect for smaller cold beverages with premium presentation. Made from rPET (recycled PET plastic), they combine crystal clarity with eco credentials - made from recycled content and fully recyclable after use. The sturdy construction prevents cracking and leaking while the clear walls showcase colourful juices and smoothies perfectly. The compact 9oz size suits fresh juices, kids portions, and small smoothie servings. Compatible with our 9oz dome lids for toppings or flat lids with straw slot for everyday service. Ideal for juice bars, healthy eating outlets, and cafes serving smaller cold drink options. Pack of 1000 cups."
12RPTDL,"Dome lids for 12oz smoothie cups. Clear rPET with extra headroom for whipped cream and toppings.","Clear rPET dome lids for 12oz smoothie cups. The raised dome provides extra headroom for whipped cream, fruit toppings, and generous garnishes. Secure snap-fit prevents spills. Fully recyclable. Pack of 1000.","These dome lids are designed for 12oz cold drinks with toppings. The raised dome shape provides extra headroom for whipped cream, fruit garnishes, and generous toppings on smoothies, milkshakes, and frappuccinos. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. Perfect for indulgent drinks where presentation matters. Compatible with our 12oz clear smoothie cups. Ideal for smoothie bars, bubble tea stores, and cafes serving premium cold drinks with toppings. Pack of 1000 lids."
20RPTDL,"Dome lids for 16-20oz smoothie cups. Clear rPET with extra headroom for whipped cream and toppings.","Clear rPET dome lids for 16oz-20oz smoothie cups. The raised dome provides extra headroom for whipped cream, fruit toppings, and generous garnishes. Secure snap-fit prevents spills. Fully recyclable. Pack of 1000.","These dome lids are designed for large 16-20oz cold drinks with toppings. The raised dome shape provides extra headroom for whipped cream, fruit garnishes, and generous toppings on large smoothies, milkshakes, and frappuccinos. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. Perfect for indulgent drinks where presentation matters. Compatible with our 16oz clear smoothie cups. Ideal for smoothie bars, bubble tea stores, and cafes serving premium cold drinks with toppings. Pack of 1000 lids."
9RPTDL,"Dome lids for 9oz smoothie cups. Clear rPET with extra headroom for whipped cream and toppings.","Clear rPET dome lids for 9oz smoothie cups. The raised dome provides extra headroom for whipped cream, fruit toppings, and garnishes on smaller drinks. Secure snap-fit prevents spills. Fully recyclable. Pack of 2000.","These dome lids are designed for 9oz cold drinks with toppings. The raised dome shape provides extra headroom for whipped cream, fruit garnishes, and toppings on small smoothies, kids milkshakes, and juice drinks. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. Perfect for smaller indulgent drinks where presentation still matters. Compatible with our 9oz clear smoothie cups. Ideal for juice bars, kids drink menus, and cafes serving smaller cold drinks with toppings. Pack of 2000 lids."
12RPTFL,"Flat lids for 12oz smoothie cups. Clear rPET with straw slot - sleek low-profile for everyday drinks.","Clear rPET flat lids for 12oz smoothie cups. Sleek low-profile design with straw slot for standard smoothies and iced drinks. Secure snap-fit prevents spills during transport. Fully recyclable. Pack of 1000.","These flat lids provide sleek closure for 12oz cold drinks. The low-profile design with straw slot suits standard smoothies, iced coffees, and juices without toppings. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. The practical straw slot accommodates standard drinking straws. Perfect for everyday cold drink service. Compatible with our 12oz clear smoothie cups. Ideal for juice bars, smoothie shops, and cafes serving cold drinks for delivery and takeaway. Pack of 1000 lids."
20RPTFL,"Flat lids for 16-20oz smoothie cups. Clear rPET with straw slot - sleek low-profile for large drinks.","Clear rPET flat lids for 16oz-20oz smoothie cups. Sleek low-profile design with straw slot for large smoothies and iced drinks. Secure snap-fit prevents spills during transport. Fully recyclable. Pack of 1000.","These flat lids provide sleek closure for large 16-20oz cold drinks. The low-profile design with straw slot suits large smoothies, iced coffees, and juices without toppings. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. The practical straw slot accommodates standard and jumbo drinking straws. Perfect for everyday large cold drink service. Compatible with our 16oz clear smoothie cups. Ideal for juice bars, smoothie shops, and delivery operations. Pack of 1000 lids."
9RPTFL,"Flat lids for 9oz smoothie cups. Clear rPET with straw slot - sleek low-profile for small drinks.","Clear rPET flat lids for 9oz smoothie cups. Sleek low-profile design with straw slot for small smoothies and juices. Secure snap-fit prevents spills during transport. Fully recyclable. Pack of 2000.","These flat lids provide sleek closure for 9oz cold drinks. The low-profile design with straw slot suits small smoothies, fresh juices, and kids drinks without toppings. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. The practical straw slot accommodates standard drinking straws. Perfect for everyday small cold drink service. Compatible with our 9oz clear smoothie cups. Ideal for juice bars, healthy eating outlets, and kids drink menus. Pack of 2000 lids."
10PICCB,"10oz blue ice cream cups. Large paper cups for sundaes and generous gelato portions with vibrant design.","10oz blue paper ice cream cups for generous dessert servings. Vibrant blue design creates eye-catching presentation. Insulated construction keeps frozen treats at optimal temperature. Perfect for sundaes and large portions. Pack of 500.","These 10oz ice cream cups are built for generous dessert servings with standout presentation. The vibrant blue design creates eye-catching appeal that customers love, while the insulated paper construction keeps ice cream, gelato, and frozen yogurt at optimal serving temperature without condensation. The large 10oz size accommodates sundaes, banana splits, and generous multi-scoop portions. Perfect for ice cream parlours, gelaterias, dessert shops, and event catering. No additional branding needed - the colourful design speaks for itself. Sturdy construction prevents leaks and maintains shape throughout service. Pack of 500 cups for busy dessert operations."
