keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url,cluster,bucket,target
straws,2500,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/drinking-straws,straws,1,/categories/cups-and-accessories/straws
plastic containers,2500,7,1,cater4you.co.uk,4,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,skip-plastic-partyware,skip,
margarita glasses,2400,0,1,cater4you.co.uk,20,https://cater4you.co.uk/product/premium-plastic-margarita-glasses-320ml/,skip-plastic-partyware,skip,
9 inch pizza,2300,0,1,enviropack.org.uk,6,https://ubereats.enviropack.org.uk/takeaway-pizza-boxes-9-kraft,skip-generic-size,skip,
foil trays,2200,0,2,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
500ml,2100,0,1,cater4you.co.uk,8,https://cater4you.co.uk/product/500ml-round-plastic-rpet-juice-bottle-with-tamper-evident-cap/,skip-non-range,skip,
kitchen foil,2000,0,1,cater4you.co.uk,15,https://cater4you.co.uk/product/bakewell-kitchen-quality-aluminium-foil-45cm-x-75m/,skip-non-range,skip,
pizza boxes,1900,0,1,takeawaypackaging.co.uk,15,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/pizza-boxes/,pizza-boxes,1,/categories/food-containers/pizza-boxes
plastic shot glasses,1900,0,2,cater4you.co.uk,10,https://cater4you.co.uk/product/mg5cl-5cl-50ml-disposable-plastic-tasting-shot-glasses/,skip-plastic-partyware,skip,
paper napkins,1800,0,1,eventsupplies.co.uk,16,https://eventsupplies.co.uk/collections/paper-napkins,napkins,1,/categories/tableware/napkins
plastic cutlery,1800,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/cutlery,skip-plastic-partyware,skip,
food containers with lids,1700,4,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
ice cream tubs,1600,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product-category/ice-cream-tubs-lids/,ice-cream-tubs,2,(new page) ice cream tubs & pots (split from ice-cream-cups)
serviettes,1600,0,1,cater4you.co.uk,17,https://cater4you.co.uk/product-category/tableware/paper-napkins/,napkins,1,/categories/tableware/napkins
plastic containers with lids,1600,3,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,skip-plastic-partyware,skip,
cake boxes near me,1600,1,1,cater4you.co.uk,18,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-boxes/,cake-boxes,3,(new range) cake & cupcake boxes
cake slice,1600,0,1,cater4you.co.uk,18,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-slice-boxes/,cake-boxes,3,(new range) cake & cupcake boxes
plastic cocktail glasses,1500,0,2,cater4you.co.uk,3,https://cater4you.co.uk/product/unbreakable-plastic-cocktail-glasses/,skip-plastic-partyware,skip,
port glass,1500,0,1,cater4you.co.uk,19,https://cater4you.co.uk/Shop,skip-plastic-partyware,skip,
aluminium foil,1500,3,1,cater4you.co.uk,14,https://cater4you.co.uk/product-category/catering-disposables/aluminium-foil/,skip-non-range,skip,
plastic prosecco glasses,1500,0,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/,skip-plastic-partyware,skip,
brown paper bags,1500,0,1,cater4you.co.uk,6,https://cater4you.co.uk/product/small-brown-handles-paper-bags/,paper-bags,1,/categories/bags-and-wraps/bags
disposable coffee cups,1400,1,3,cupsdirect.co.uk,4,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
disposable cups,1400,2,2,cupsdirect.co.uk,8,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
coffee cups with lids,1400,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
dessert cups,1400,0,2,cater4you.co.uk,5,https://cater4you.co.uk/product-category/food-packaging/dessert-cups-pots-lids/,dessert-cups,2,(new page) dessert cups & pots
plastic tumblers,1300,0,1,cupsdirect.co.uk,18,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,skip-plastic-partyware,skip,
food storage containers with lids,1300,4,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
plastic food containers,1300,6,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,skip-plastic-partyware,skip,
paper straws,1200,0,1,takeawaypackaging.co.uk,17,https://takeawaypackaging.co.uk/online-shop/cup-accessories/biodegradable-straws-paper-straws/,straws,1,/categories/cups-and-accessories/straws
food box,1200,0,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/food-carriers,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
plastic cup,1200,0,2,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
clingfilm,1200,4,1,cupsdirect.co.uk,14,https://cupsdirect.co.uk/products/cling-film-range,skip-plastic-partyware,skip,
food tray,1200,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/food-trays,food-trays,2,(new page) food trays (microflute + folded board)
500ml bottle,1200,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product/500ml-round-plastic-rpet-juice-bottle-with-tamper-evident-cap/,skip-non-range,skip,
takeaway coffee cups,1100,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
burger boxes,1100,0,4,enviropack.org.uk,2,https://www.enviropack.org.uk/hot-food-containers/burger-boxes,burger-boxes,2,(new page) burger boxes
plastic pint glasses,1100,0,3,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,skip-plastic-partyware,skip,
sandwich bags,1100,0,1,enviropack.org.uk,14,https://www.enviropack.org.uk/sandwich-bread/sandwich-bags-boxes,paper-bags,1,/categories/bags-and-wraps/bags
plastic champagne glasses,1100,0,2,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,skip-plastic-partyware,skip,
disposable cutlery,1100,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/cutlery,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
coupe glasses,1100,3,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/150ml-champagne-saucer-coupe,skip-plastic-partyware,skip,
plastic cups with lids,1000,0,1,takeawaypackaging.co.uk,20,https://takeawaypackaging.co.uk/online-shop/cups/recyclable-clear-cups-lids/,skip-plastic-partyware,skip,
soup container,1000,0,3,cupsdirect.co.uk,9,https://cupsdirect.co.uk/,soup-containers,1,/categories/food-containers/soup-containers
sandwich box,1000,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/sandwich-bread/sandwich-bags-boxes,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
wooden spoons,1000,1,1,cater4you.co.uk,6,https://cater4you.co.uk/product/wooden-spoons/,wooden-spoons,2,product page exists; feature on cutlery page
cake slice boxes,1000,0,1,cater4you.co.uk,12,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-slice-boxes/,cake-boxes,3,(new range) cake & cupcake boxes
takeaway containers,900,0,3,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
takeaway boxes,900,2,4,takeawaypackaging.co.uk,8,https://takeawaypackaging.co.uk/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
paper bowls,900,0,3,enviropack.org.uk,2,https://www.enviropack.org.uk/hot-food-containers/paperboard-food-bowls,bowls,1,/categories/food-containers/bowls-and-lids
foil paper,900,0,1,enviropack.org.uk,18,https://www.enviropack.org.uk/350x400mm-foil-insulated-dele-wrap-sheets-3,skip-non-range,skip,
wooden cutlery,900,0,2,cater4you.co.uk,5,https://cater4you.co.uk/product/3-in-1-wooden-cutlery-set/,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
red cups,900,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,skip-plastic-partyware,skip,
12oz,900,0,1,eventsupplies.co.uk,9,https://eventsupplies.co.uk/products/12oz-white-paper-cups,skip-generic-size,skip,
16oz,900,0,2,greenpak.supplies,4,https://greenpak.supplies/product/16oz-clear-pet-smoothie-cup/,skip-generic-size,skip,
plastic food containers with lids,900,3,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,skip-plastic-partyware,skip,
flan dish,900,0,1,cater4you.co.uk,19,https://cater4you.co.uk/product/165mm-round-foil-flan-dish-rolled-edge/,skip-non-range,skip,
plastic bowls,900,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/tableware/plastic-bowls/,skip-plastic-partyware,skip,
serviette,900,0,1,cater4you.co.uk,9,https://cater4you.co.uk/product-category/tableware/paper-napkins/,napkins,1,/categories/tableware/napkins
paper bags with handles,800,1,1,takeawaypackaging.co.uk,4,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/twisted-handle-paper-bags/,paper-bags,1,/categories/bags-and-wraps/bags
foil tray,800,0,1,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
dessert box,800,0,2,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/bakery-dessert-packaging,dessert-cups,2,(new page) dessert cups & pots
food trays,800,0,2,cupsdirect.co.uk,2,https://cupsdirect.co.uk/collections/food-packaging/catering-trays-&-scoops,food-trays,2,(new page) food trays (microflute + folded board)
paper tablecloths,800,0,1,eventsupplies.co.uk,18,https://eventsupplies.co.uk/collections/paper-tablecovers,skip-non-range,skip,
plastic forks,800,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-forks,skip-plastic-partyware,skip,
plastic spoons,800,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons,skip-plastic-partyware,skip,
kitchen paper,800,0,1,cater4you.co.uk,15,https://cater4you.co.uk/product-category/janitorial/kitchen-roll/,skip-non-range,skip,
individual cupcake boxes,800,0,1,cater4you.co.uk,14,https://cater4you.co.uk/product-category/bakery-and-cakes/individual-cupcake-boxes/,cake-boxes,3,(new range) cake & cupcake boxes
sandwich trays,800,1,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,platters-catering,2,(new page) platter boxes & catering trays
foil trays with lids,800,0,1,cater4you.co.uk,5,https://cater4you.co.uk/product-category/food-packaging/foil-take-away-trays/,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
kebab sticks,800,0,1,cater4you.co.uk,20,https://cater4you.co.uk/product-category/catering-disposables/wooden-sticks-and-skewers/,skip-non-range,skip,
disposable bowls,700,0,2,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/food-bowls,bowls,1,/categories/food-containers/bowls-and-lids
paper coffee cups,700,1,3,cupsdirect.co.uk,10,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
red plastic cups,700,0,2,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,skip-plastic-partyware,skip,
solo cup,700,2,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/red-party-cup-range,skip-plastic-partyware,skip,
catering trays,700,0,3,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/food-packaging/catering-trays-&-scoops,platters-catering,2,(new page) platter boxes & catering trays
plastic martini glasses,700,0,2,cater4you.co.uk,2,https://cater4you.co.uk/product/white-polycarbonate-plastic-martini-glass/,skip-plastic-partyware,skip,
party cups,700,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
disposable wine glasses,700,0,2,cater4you.co.uk,3,https://cater4you.co.uk/,skip-plastic-partyware,skip,
chicken box,700,0,2,greenpak.supplies,8,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/,chicken-boxes,3,(new range) chicken boxes & buckets
plastic bowl,700,0,1,cater4you.co.uk,18,https://cater4you.co.uk/product-category/tableware/plastic-bowls/,skip-plastic-partyware,skip,
shot glasses plastic,700,0,1,cater4you.co.uk,13,https://cater4you.co.uk/product/8cl-80ml-tasting-shot-glasses/,skip-plastic-partyware,skip,
sandwich trays with lids,700,0,1,cater4you.co.uk,11,https://cater4you.co.uk/Food,platters-catering,2,(new page) platter boxes & catering trays
spice jars with labels,700,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/herb-and-spice-jars/,skip-non-range,skip,
plastic gin glasses,700,0,1,cater4you.co.uk,12,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-gin-glasses/,skip-plastic-partyware,skip,
cupcake decorating ideas,700,6,1,cater4you.co.uk,7,https://cater4you.co.uk/cupcake-decorating-ideas-for-beginners/,skip-non-range,skip,
branded packaging,600,7,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/branded-packaging/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
greaseproof paper sheets,600,0,2,enviropack.org.uk,8,https://ubereats.enviropack.org.uk/types,greaseproof,1,/categories/bags-and-wraps/greaseproof-and-wraps
disposable coffee cups with lids,600,0,4,enviropack.org.uk,4,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups,coffee-cups,1,/categories/cups-and-accessories/hot-cups
plastic glass,600,0,2,cater4you.co.uk,5,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/,skip-plastic-partyware,skip,
smoothie cup,600,0,2,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/diamond-plastic-smoothie-cup-range-pet-juice-cups-with-lids,smoothie-cups,2,(new page) smoothie & milkshake cups
restaurant names,600,2,1,enviropack.org.uk,7,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,skip-non-range,skip,
noodle box,600,3,1,enviropack.org.uk,14,https://www.enviropack.org.uk/hot-food-containers/noodle-boxes,noodle-boxes,2,(new page) noodle / chinese takeaway boxes (kraft takeaway boxes)
4oz,600,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/4oz-portion-pot-and-lids,skip-generic-size,skip,
how long does cake last in the fridge,600,3,1,cater4you.co.uk,17,https://cater4you.co.uk/how-long-can-a-cake-last-in-the-fridge/,skip-non-range,skip,
buffet trays,600,0,1,cater4you.co.uk,19,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,platters-catering,2,(new page) platter boxes & catering trays
50ml bottle,600,0,1,cater4you.co.uk,13,https://cater4you.co.uk/product/50ml-square-rpet-plastic-bottle-with-tamper-evident-cap/,skip-non-range,skip,
sandwich platter trays,600,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/page/2/,platters-catering,2,(new page) platter boxes & catering trays
bagasse,500,2,2,takeawaypackaging.co.uk,4,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/bagasse-tableware/,bagasse,1,/categories/food-containers/bagasse-containers
food packaging boxes,500,3,4,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
chip box,500,0,2,cater4you.co.uk,7,https://cater4you.co.uk/product-category/food-packaging/fish-and-chip-packaging/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
clear plastic cups,500,0,2,eventsupplies.co.uk,6,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
deli containers,500,0,1,enviropack.org.uk,8,https://www.enviropack.org.uk/cold-food-containers/deli-portion-pots,deli-pots,1,/categories/cold-food-and-salads/deli-containers
wooden forks,500,0,1,enviropack.org.uk,10,https://www.enviropack.org.uk/tableware/disposable-forks,cutlery,1,/categories/tableware/cutlery (retarget: wooden cutlery)
drinking straws,500,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/products/black-jumbo-plastic-drinking-straws,skip-non-range,skip,
plastic flutes,500,0,2,cater4you.co.uk,10,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/,skip-plastic-partyware,skip,
plastic straws uk,500,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/collections/drinking-straws,skip-plastic-partyware,skip,
sauce pots,500,0,2,eventsupplies.co.uk,10,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids,portion-sauce-pots,1,/categories/food-containers/portion-pots-and-lids (retarget: + sauce pots)
foil containers,500,0,2,greenpak.supplies,6,https://greenpak.supplies/product/no-1-foil-container/,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
white paper bags,500,0,1,cater4you.co.uk,15,https://cater4you.co.uk/product/125-x-125mm-small-white-paper-bags/,paper-bags,1,/categories/bags-and-wraps/bags
platter trays,500,0,1,cater4you.co.uk,4,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,platters-catering,2,(new page) platter boxes & catering trays
polystyrene cups,500,0,1,cater4you.co.uk,8,https://cater4you.co.uk/Blog,skip-plastic-partyware,skip,
disposable food containers,500,0,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
plastic party plates,500,0,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/tableware/,skip-plastic-partyware,skip,
do hot drinks cool you down,450,6,1,takeawaypackaging.co.uk,20,https://takeawaypackaging.co.uk/hot-drinks-cool-you-down/,skip-non-range,skip,
food packaging design,450,0,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/design-service/,custom-print,2,/categories/branded-products (expand + per-product landing pages)
platter boxes,450,0,1,cupsdirect.co.uk,4,https://cupsdirect.co.uk/products/kraft-catering-platter-sandwich-box-range,platters-catering,2,(new page) platter boxes & catering trays
iced coffee cups,450,0,1,cupsdirect.co.uk,9,https://cupsdirect.co.uk/blogs/insights/best-cups-for-iced-coffee-and-cold-drinks-uk-buyer-s-guide,smoothie-cups,2,(new page) smoothie & milkshake cups
dessert pots,450,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/dessert-cookies/dessert-pots,dessert-cups,2,(new page) dessert cups & pots
plastic glasses for party,450,0,2,cater4you.co.uk,6,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/,skip-plastic-partyware,skip,
plastic drinking glasses,450,4,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/plastic-glasses,skip-plastic-partyware,skip,
disposable glasses,450,0,2,eventsupplies.co.uk,10,https://eventsupplies.co.uk/collections/plastic-glasses,skip-plastic-partyware,skip,
disposable champagne flutes,450,0,1,eventsupplies.co.uk,10,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,skip-plastic-partyware,skip,
foil container,450,0,1,greenpak.supplies,9,https://greenpak.supplies/product/no-1-foil-container/,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
buffet trays with lids,450,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,platters-catering,2,(new page) platter boxes & catering trays
can you freeze cupcakes,450,0,1,cater4you.co.uk,4,https://cater4you.co.uk/can-you-freeze-cupcakes/,skip-non-range,skip,
polycarbonate glasses,450,0,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/unbreakable-plastic-glasses/,skip-plastic-partyware,skip,
cupcake holder,450,0,1,cater4you.co.uk,8,https://cater4you.co.uk/product/25-or-30-hole-cupcake-boxes-for-transporting/,cake-boxes,3,(new range) cake & cupcake boxes
juice bottles,450,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/plastic-juice-bottles/,skip-non-range,skip,
disposable shot glasses,450,0,1,cater4you.co.uk,6,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-shot-glasses/,cold-cups,1,/categories/cups-and-accessories/cold-cups-and-lids
coffee cups takeaway,400,0,2,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
paper cups for hot drinks,400,0,4,greenpak.supplies,3,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
ice cream tubs with lids,400,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/online-shop/ice-cream-tubs-lids/,ice-cream-tubs,2,(new page) ice cream tubs & pots (split from ice-cream-cups)
smoothie cups,400,0,2,greenpak.supplies,2,https://greenpak.supplies/Cups,smoothie-cups,2,(new page) smoothie & milkshake cups
red cup,400,0,1,cupsdirect.co.uk,4,https://cupsdirect.co.uk/products/red-party-cup-range,skip-plastic-partyware,skip,
plastic dessert cups,400,0,1,cater4you.co.uk,8,https://cater4you.co.uk/product-category/food-packaging/dessert-cups-pots-lids/,skip-plastic-partyware,skip,
pudding basin,400,0,1,cater4you.co.uk,20,https://cater4you.co.uk/product/red-plastic-1lb-pudding-basins/,skip-non-range,skip,
cookie boxes,400,0,1,cater4you.co.uk,19,https://cater4you.co.uk/product-category/bakery-and-cakes/cookie-boxes-and-bags/,cake-boxes,3,(new range) cake & cupcake boxes
tin foil trays,400,0,1,cater4you.co.uk,5,https://cater4you.co.uk/product-category/food-packaging/foil-trays-and-pie-dishes/,foil-trays,1,/categories/food-containers/aluminium-containers (retarget: foil trays)
banqueting roll,400,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/tableware/banqueting-roll-table-covers/,skip-non-range,skip,
white napkins,400,0,1,cater4you.co.uk,13,https://cater4you.co.uk/product/single-ply-white-paper-napkins-serviettes/,napkins,1,/categories/tableware/napkins
buffet platters,400,1,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,platters-catering,2,(new page) platter boxes & catering trays
catering trays with lids,400,0,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,platters-catering,2,(new page) platter boxes & catering trays
disposable cocktail glasses,400,0,1,cater4you.co.uk,2,https://cater4you.co.uk/,skip-plastic-partyware,skip,
compostable cups,350,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
take away containers,350,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product-category/hot-food-containers/,takeaway-containers,1,/categories/food-containers (+ food-containers-and-lids)
takeaway box,350,3,3,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
take away boxes,350,1,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
bagasse plates,350,0,3,enviropack.org.uk,3,https://www.enviropack.org.uk/tableware/bagasse-plates,paper-plates,1,/categories/tableware/plates-and-bowls (split: plates)
disposable cups for hot drinks,350,0,3,cupsdirect.co.uk,3,https://cupsdirect.co.uk/collections/paper-cups-for-hot-drinks,coffee-cups,1,/categories/cups-and-accessories/hot-cups
plastic coffee cups,350,0,1,cupsdirect.co.uk,7,https://cupsdirect.co.uk/,skip-plastic-partyware,skip,
palm leaf plates,350,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/palm-leaf-plates,paper-plates,1,/categories/tableware/plates-and-bowls (split: plates)
cold cups,350,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/cups-and-accessories/cold-cups,cold-cups,1,/categories/cups-and-accessories/cold-cups-and-lids
plastic straw,350,0,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/collections/drinking-straws,skip-plastic-partyware,skip,
plastic spoon,350,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons,skip-plastic-partyware,skip,
plastic knives and forks,350,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/cutlery,skip-plastic-partyware,skip,
white placemats,350,0,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/products/white-placemats,skip-non-range,skip,
plastic pint cups,350,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,skip-plastic-partyware,skip,
takeaway cups,300,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
disposable plastic cups,300,0,2,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
paper bags for food,300,0,2,enviropack.org.uk,3,https://www.enviropack.org.uk/bags-pouches,paper-bags,1,/categories/bags-and-wraps/bags
16oz cup,300,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/product/16oz-black-double-wall-recyclable-cup-mm-qty-500/,skip-generic-size,skip,
