keyword,best_position,best_position_url,volume,keyword_difficulty
"burger boxes",4,https://cater4you.co.uk/product-category/food-packaging/burger-boxes/,1100,0
"wooden spoons",6,https://cater4you.co.uk/product/wooden-spoons/,1000,1
"cake slice boxes",12,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-slice-boxes/,1000,0
"soup container",10,https://cater4you.co.uk/Shop,1000,0
"plastic food containers with lids",2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,900,3
"paper bowls",11,https://cater4you.co.uk/product-category/tableware/paper-bowls/,900,0
"takeaway containers",3,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,900,0
"flan dish",19,https://cater4you.co.uk/product/165mm-round-foil-flan-dish-rolled-edge/,900,0
"plastic bowls",3,https://cater4you.co.uk/product-category/tableware/plastic-bowls/,900,0
"takeaway boxes",11,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,900,2
"serviette",9,https://cater4you.co.uk/product-category/tableware/paper-napkins/,900,0
"wooden cutlery",5,https://cater4you.co.uk/product/3-in-1-wooden-cutlery-set/,900,0
"kitchen paper",15,https://cater4you.co.uk/product-category/janitorial/kitchen-roll/,800,0
"individual cupcake boxes",14,https://cater4you.co.uk/product-category/bakery-and-cakes/individual-cupcake-boxes/,800,0
"sandwich trays",3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,800,1
"foil trays with lids",5,https://cater4you.co.uk/product-category/food-packaging/foil-take-away-trays/,800,0
"kebab sticks",20,https://cater4you.co.uk/product-category/catering-disposables/wooden-sticks-and-skewers/,800,0
"cater4you",1,https://cater4you.co.uk/,800,0
"brown paper bag",16,https://cater4you.co.uk/product/medium-printed-brown-paper-bags-for-takeaway/,800,24
"plastic bowl",18,https://cater4you.co.uk/product-category/tableware/plastic-bowls/,700,0
"chicken box",15,https://cater4you.co.uk/product/medium-fried-chicken-hot-food-box/,700,0
"shot glasses plastic",13,https://cater4you.co.uk/product/8cl-80ml-tasting-shot-glasses/,700,0
"plastic martini glasses",2,https://cater4you.co.uk/product/white-polycarbonate-plastic-martini-glass/,700,0
"sandwich trays with lids",11,https://cater4you.co.uk/Food,700,0
"catering trays",6,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,700,0
"spice jars with labels",16,https://cater4you.co.uk/product-category/food-packaging/herb-and-spice-jars/,700,0
"disposable wine glasses",3,https://cater4you.co.uk/,700,0
"plastic gin glasses",12,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-gin-glasses/,700,0
"cupcake decorating ideas",7,https://cater4you.co.uk/cupcake-decorating-ideas-for-beginners/,700,6
"how long does cake last in the fridge",17,https://cater4you.co.uk/how-long-can-a-cake-last-in-the-fridge/,600,3
"buffet trays",19,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,600,0
"50ml bottle",13,https://cater4you.co.uk/product/50ml-square-rpet-plastic-bottle-with-tamper-evident-cap/,600,0
"plastic glass",5,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/,600,0
"disposable coffee cups with lids",20,https://cater4you.co.uk/product-category/cups-glasses/disposable-cups/disposable-coffee-cups-and-lids/,600,0
"sandwich platter trays",16,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/page/2/,600,0
"food packaging boxes",6,https://cater4you.co.uk/product-category/food-packaging/,500,3
"packaging uk",16,https://cater4you.co.uk/product-category/food-packaging/,500,71
"chip box",7,https://cater4you.co.uk/product-category/food-packaging/fish-and-chip-packaging/,500,0
"white paper bags",15,https://cater4you.co.uk/product/125-x-125mm-small-white-paper-bags/,500,0
"platter trays",4,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,500,0
"polystyrene cups",8,https://cater4you.co.uk/Blog,500,0
"foil containers",15,https://cater4you.co.uk/product/no-1-small-rectangular-foil-containers/,500,0
"plastic flutes",10,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/,500,0
"disposable food containers",2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,500,0
"sauce pots",14,https://cater4you.co.uk/product-category/food-packaging/deli-pots-sauce-pots/,500,0
"plastic party plates",11,https://cater4you.co.uk/product-category/tableware/,500,0
"cater 4 you",1,https://cater4you.co.uk/,450,0
"buffet trays with lids",3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,450,0
"plastic glasses for party",6,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/,450,0
"can you freeze cupcakes",4,https://cater4you.co.uk/can-you-freeze-cupcakes/,450,0
"polycarbonate glasses",2,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/unbreakable-plastic-glasses/,450,0
"cater for you",1,https://cater4you.co.uk/,450,0
"cupcake holder",8,https://cater4you.co.uk/product/25-or-30-hole-cupcake-boxes-for-transporting/,450,0
"disposable glasses",12,https://cater4you.co.uk/Drinking,450,0
"juice bottles",3,https://cater4you.co.uk/product-category/food-packaging/plastic-juice-bottles/,450,0
"disposable shot glasses",6,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-shot-glasses/,450,0
"plastic dessert cups",8,https://cater4you.co.uk/product-category/food-packaging/dessert-cups-pots-lids/,400,0
"pudding basin",20,https://cater4you.co.uk/product/red-plastic-1lb-pudding-basins/,400,0
"cookie boxes",19,https://cater4you.co.uk/product-category/bakery-and-cakes/cookie-boxes-and-bags/,400,0
"tin foil trays",5,https://cater4you.co.uk/product-category/food-packaging/foil-trays-and-pie-dishes/,400,0
"banqueting roll",3,https://cater4you.co.uk/product-category/tableware/banqueting-roll-table-covers/,400,0
"white napkins",13,https://cater4you.co.uk/product/single-ply-white-paper-napkins-serviettes/,400,0
"buffet platters",3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,400,1
"catering trays with lids",11,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/,400,0
"disposable cocktail glasses",2,https://cater4you.co.uk/,400,0
